-> customer[90]: {atime 89, dtime 79, btype 1, money 231}
-> customer[445]: {atime 444, dtime 11, btype 0, money 909}
-> customer[448]: {atime 447, dtime 14, btype 1, money 901}
-> customer[451]: {atime 450, dtime 61, btype 1, money 693}
-> customer[452]: {atime 451, dtime 70, btype 1, money 1000}
-> customer[453]: {atime 452, dtime 46, btype 1, money 198}
-> customer[454]: {atime 453, dtime 4, btype 1, money 208}
-> customer[455]: {atime 454, dtime 79, btype 0, money 134}
-> customer[458]: {atime 457, dtime 11, btype 0, money 68}
-> customer[461]: {atime 460, dtime 10, btype 1, money 927}
-> customer[464]: {atime 463, dtime 62, btype 0, money 99}
-> customer[467]: {atime 466, dtime 17, btype 1, money 729}
-> customer[470]: {atime 469, dtime 3, btype 0, money 442}
-> customer[473]: {atime 472, dtime 40, btype 0, money 332}
-> customer[477]: {atime 476, dtime 49, btype 1, money 440}
-> customer[480]: {atime 479, dtime 24, btype 0, money 491}
-> customer[483]: {atime 482, dtime 91, btype 1, money 867}
-> customer[486]: {atime 485, dtime 92, btype 1, money 670}
-> customer[489]: {atime 488, dtime 18, btype 0, money 957}
-> customer[492]: {atime 491, dtime 83, btype 1, money 754}
-> customer[494]: {atime 493, dtime 100, btype 0, money 3}
-> customer[495]: {atime 494, dtime 82, btype 0, money 619}
-> customer[497]: {atime 496, dtime 22, btype 0, money 551}
-> customer[500]: {atime 499, dtime 98, btype 0, money 401}
-> customer[504]: {atime 503, dtime 77, btype 1, money 459}
-> customer[507]: {atime 506, dtime 31, btype 1, money 672}
-> customer[510]: {atime 509, dtime 14, btype 0, money 730}
-> customer[513]: {atime 512, dtime 64, btype 1, money 366}
-> customer[516]: {atime 515, dtime 80, btype 1, money 630}
-> customer[519]: {atime 518, dtime 79, btype 0, money 450}
-> customer[522]: {atime 521, dtime 97, btype 0, money 52}
-> customer[525]: {atime 524, dtime 51, btype 1, money 198}
-> customer[528]: {atime 527, dtime 8, btype 1, money 423}
-> customer[531]: {atime 530, dtime 81, btype 0, money 344}
-> customer[534]: {atime 533, dtime 82, btype 0, money 976}
-> customer[540]: {atime 539, dtime 40, btype 0, money 896}
-> customer[543]: {atime 542, dtime 55, btype 1, money 991}
-> customer[546]: {atime 545, dtime 63, btype 0, money 487}
-> customer[549]: {atime 548, dtime 86, btype 1, money 100}
-> customer[552]: {atime 551, dtime 3, btype 0, money 46}
-> customer[555]: {atime 554, dtime 44, btype 0, money 881}
-> customer[558]: {atime 557, dtime 81, btype 1, money 846}
-> customer[561]: {atime 560, dtime 47, btype 1, money 543}
-> customer[564]: {atime 563, dtime 95, btype 0, money 346}
-> customer[567]: {atime 566, dtime 68, btype 0, money 483}
-> customer[571]: {atime 570, dtime 63, btype 0, money 462}
-> customer[574]: {atime 573, dtime 85, btype 1, money 487}
-> customer[576]: {atime 575, dtime 72, btype 1, money 249}
-> customer[577]: {atime 576, dtime 34, btype 0, money 558}
-> customer[580]: {atime 579, dtime 14, btype 0, money 751}
-> customer[583]: {atime 582, dtime 87, btype 1, money 194}
-> customer[586]: {atime 585, dtime 63, btype 0, money 151}
-> customer[589]: {atime 588, dtime 13, btype 1, money 106}
-> customer[592]: {atime 591, dtime 34, btype 0, money 352}
-> customer[595]: {atime 594, dtime 20, btype 1, money 898}
-> customer[598]: {atime 597, dtime 20, btype 0, money 698}
-> customer[601]: {atime 600, dtime 23, btype 1, money 908}
-> customer[604]: {atime 603, dtime 30, btype 1, money 503}
-> customer[607]: {atime 606, dtime 74, btype 0, money 557}
-> customer[610]: {atime 609, dtime 93, btype 1, money 143}
-> customer[613]: {atime 612, dtime 39, btype 1, money 173}
-> customer[616]: {atime 615, dtime 40, btype 1, money 933}
-> customer[619]: {atime 618, dtime 19, btype 0, money 537}
-> customer[622]: {atime 621, dtime 99, btype 1, money 942}
-> customer[623]: {atime 622, dtime 6, btype 1, money 900}
-> customer[627]: {atime 626, dtime 78, btype 0, money 649}
-> customer[630]: {atime 629, dtime 54, btype 0, money 576}
-> customer[633]: {atime 632, dtime 15, btype 0, money 513}
-> customer[636]: {atime 635, dtime 20, btype 0, money 609}
-> customer[639]: {atime 638, dtime 79, btype 0, money 977}
-> customer[642]: {atime 641, dtime 22, btype 1, money 421}
-> customer[645]: {atime 644, dtime 51, btype 0, money 107}
-> customer[648]: {atime 647, dtime 29, btype 0, money 873}
-> customer[651]: {atime 650, dtime 45, btype 1, money 811}
-> customer[654]: {atime 653, dtime 5, btype 1, money 667}
-> customer[657]: {atime 656, dtime 8, btype 1, money 554}
-> customer[660]: {atime 659, dtime 23, btype 1, money 494}
-> customer[663]: {atime 662, dtime 12, btype 0, money 93}
-> customer[668]: {atime 667, dtime 68, btype 0, money 995}
-> customer[671]: {atime 670, dtime 18, btype 1, money 903}
-> customer[675]: {atime 674, dtime 21, btype 0, money 422}
-> customer[676]: {atime 675, dtime 26, btype 1, money 922}
-> customer[679]: {atime 678, dtime 90, btype 1, money 498}
-> customer[682]: {atime 681, dtime 20, btype 0, money 951}
-> customer[685]: {atime 684, dtime 1, btype 1, money 47}
-> customer[689]: {atime 688, dtime 37, btype 0, money 418}
-> customer[692]: {atime 691, dtime 22, btype 1, money 431}
-> customer[695]: {atime 694, dtime 6, btype 1, money 317}
-> customer[698]: {atime 697, dtime 57, btype 0, money 991}
-> customer[701]: {atime 700, dtime 10, btype 1, money 830}
-> customer[704]: {atime 703, dtime 70, btype 1, money 988}
-> customer[707]: {atime 706, dtime 11, btype 1, money 892}
-> customer[711]: {atime 710, dtime 11, btype 0, money 422}
-> customer[714]: {atime 713, dtime 16, btype 1, money 385}
-> customer[717]: {atime 716, dtime 44, btype 0, money 981}
-> customer[720]: {atime 719, dtime 75, btype 0, money 477}
-> customer[723]: {atime 722, dtime 12, btype 1, money 444}
-> customer[726]: {atime 725, dtime 92, btype 0, money 930}
-> customer[729]: {atime 728, dtime 6, btype 1, money 157}
-> customer[732]: {atime 731, dtime 82, btype 1, money 546}
-> customer[735]: {atime 734, dtime 81, btype 0, money 972}
-> customer[738]: {atime 737, dtime 73, btype 1, money 77}
-> customer[741]: {atime 740, dtime 30, btype 0, money 611}
-> customer[744]: {atime 743, dtime 52, btype 0, money 709}
-> customer[747]: {atime 746, dtime 74, btype 1, money 134}
-> customer[750]: {atime 749, dtime 62, btype 0, money 809}
-> customer[754]: {atime 753, dtime 98, btype 0, money 165}
-> customer[755]: {atime 754, dtime 61, btype 0, money 63}
-> customer[758]: {atime 757, dtime 50, btype 0, money 76}
-> customer[762]: {atime 761, dtime 91, btype 1, money 453}
-> customer[765]: {atime 764, dtime 11, btype 0, money 349}
-> customer[768]: {atime 767, dtime 43, btype 1, money 119}
-> customer[771]: {atime 770, dtime 10, btype 1, money 762}
-> customer[774]: {atime 773, dtime 9, btype 0, money 657}
-> customer[777]: {atime 776, dtime 82, btype 1, money 407}
-> customer[780]: {atime 779, dtime 79, btype 0, money 373}
-> customer[783]: {atime 782, dtime 55, btype 1, money 162}
-> customer[786]: {atime 785, dtime 73, btype 0, money 915}
-> customer[789]: {atime 788, dtime 56, btype 1, money 99}
-> customer[792]: {atime 791, dtime 14, btype 1, money 77}
-> customer[795]: {atime 794, dtime 71, btype 0, money 104}
-> customer[798]: {atime 797, dtime 65, btype 1, money 154}
-> customer[801]: {atime 800, dtime 78, btype 0, money 584}
-> customer[804]: {atime 803, dtime 98, btype 1, money 709}
-> customer[808]: {atime 807, dtime 53, btype 0, money 559}
-> customer[811]: {atime 810, dtime 77, btype 0, money 498}
-> customer[814]: {atime 813, dtime 100, btype 1, money 4}
-> customer[817]: {atime 816, dtime 87, btype 1, money 302}
-> customer[820]: {atime 819, dtime 1, btype 0, money 317}
-> customer[823]: {atime 822, dtime 32, btype 1, money 839}
-> customer[826]: {atime 825, dtime 80, btype 1, money 64}
-> customer[829]: {atime 828, dtime 24, btype 1, money 151}
-> customer[832]: {atime 831, dtime 41, btype 0, money 887}
-> customer[835]: {atime 834, dtime 76, btype 1, money 219}
-> customer[838]: {atime 837, dtime 46, btype 1, money 330}
-> customer[841]: {atime 840, dtime 63, btype 0, money 60}
-> customer[844]: {atime 843, dtime 44, btype 0, money 596}
-> customer[847]: {atime 846, dtime 77, btype 1, money 382}
-> customer[849]: {atime 848, dtime 93, btype 1, money 755}
-> customer[852]: {atime 851, dtime 9, btype 1, money 971}
-> customer[855]: {atime 854, dtime 95, btype 1, money 100}
-> customer[858]: {atime 857, dtime 58, btype 0, money 922}
-> customer[861]: {atime 860, dtime 93, btype 0, money 166}
-> customer[864]: {atime 863, dtime 31, btype 1, money 400}
-> customer[868]: {atime 867, dtime 19, btype 1, money 617}
-> customer[871]: {atime 870, dtime 12, btype 1, money 164}
-> customer[874]: {atime 873, dtime 49, btype 1, money 27}
-> customer[877]: {atime 876, dtime 16, btype 0, money 11}
-> customer[880]: {atime 879, dtime 84, btype 1, money 944}
-> customer[883]: {atime 882, dtime 24, btype 0, money 44}
-> customer[886]: {atime 885, dtime 26, btype 0, money 744}
-> customer[889]: {atime 888, dtime 93, btype 0, money 410}
-> customer[892]: {atime 891, dtime 8, btype 0, money 246}
-> customer[895]: {atime 894, dtime 97, btype 1, money 575}
-> customer[898]: {atime 897, dtime 61, btype 0, money 800}
-> customer[901]: {atime 900, dtime 36, btype 1, money 927}
-> customer[904]: {atime 903, dtime 3, btype 1, money 170}
-> customer[907]: {atime 906, dtime 65, btype 1, money 236}
-> customer[911]: {atime 910, dtime 83, btype 1, money 263}
-> customer[915]: {atime 914, dtime 50, btype 0, money 908}
-> customer[918]: {atime 917, dtime 90, btype 0, money 232}
-> customer[921]: {atime 920, dtime 34, btype 1, money 567}
-> customer[924]: {atime 923, dtime 44, btype 0, money 432}
-> customer[927]: {atime 926, dtime 43, btype 0, money 629}
-> customer[928]: {atime 927, dtime 66, btype 1, money 486}
-> customer[930]: {atime 929, dtime 14, btype 0, money 423}
-> customer[934]: {atime 933, dtime 33, btype 0, money 139}
-> customer[937]: {atime 936, dtime 7, btype 1, money 631}
-> customer[940]: {atime 939, dtime 27, btype 1, money 669}
-> customer[943]: {atime 942, dtime 56, btype 0, money 737}
-> customer[946]: {atime 945, dtime 91, btype 0, money 170}
-> customer[949]: {atime 948, dtime 60, btype 1, money 354}
-> customer[952]: {atime 951, dtime 91, btype 0, money 165}
-> customer[954]: {atime 953, dtime 38, btype 1, money 40}
-> customer[956]: {atime 955, dtime 20, btype 1, money 171}
-> customer[959]: {atime 958, dtime 82, btype 0, money 267}
-> customer[963]: {atime 962, dtime 33, btype 1, money 211}
-> customer[966]: {atime 965, dtime 44, btype 1, money 720}
-> customer[969]: {atime 968, dtime 56, btype 0, money 339}
-> customer[972]: {atime 971, dtime 6, btype 0, money 124}
-> customer[975]: {atime 974, dtime 2, btype 1, money 516}
-> customer[978]: {atime 977, dtime 36, btype 0, money 950}
-> customer[981]: {atime 980, dtime 52, btype 1, money 215}
-> customer[984]: {atime 983, dtime 56, btype 0, money 416}
-> customer[987]: {atime 986, dtime 9, btype 1, money 698}
-> customer[990]: {atime 989, dtime 87, btype 1, money 610}
-> customer[993]: {atime 992, dtime 82, btype 1, money 652}
-> customer[994]: {atime 993, dtime 96, btype 0, money 720}
-> customer[997]: {atime 996, dtime 59, btype 1, money 430}

QueueANo.2:
-> customer[81]: {atime 80, dtime 78, btype 0, money 39}
-> customer[84]: {atime 83, dtime 64, btype 0, money 121}
-> customer[87]: {atime 86, dtime 44, btype 1, money 615}
-> customer[90]: {atime 89, dtime 79, btype 1, money 231}
-> customer[93]: {atime 92, dtime 49, btype 0, money 225}
-> customer[96]: {atime 95, dtime 61, btype 0, money 605}
-> customer[99]: {atime 98, dtime 32, btype 1, money 576}
-> customer[102]: {atime 101, dtime 82, btype 1, money 368}
-> customer[105]: {atime 104, dtime 39, btype 0, money 118}
-> customer[106]: {atime 105, dtime 54, btype 0, money 468}
-> customer[107]: {atime 106, dtime 95, btype 0, money 967}
-> customer[108]: {atime 107, dtime 41, btype 0, money 852}
-> customer[110]: {atime 109, dtime 27, btype 1, money 58}
-> customer[113]: {atime 112, dtime 25, btype 1, money 469}
-> customer[117]: {atime 116, dtime 87, btype 0, money 605}
-> customer[120]: {atime 119, dtime 1, btype 1, money 981}
-> customer[123]: {atime 122, dtime 83, btype 1, money 908}
-> customer[126]: {atime 125, dtime 87, btype 1, money 916}
-> customer[129]: {atime 128, dtime 100, btype 1, money 142}
-> customer[132]: {atime 131, dtime 58, btype 0, money 502}
-> customer[135]: {atime 134, dtime 20, btype 0, money 822}
-> customer[138]: {atime 137, dtime 7, btype 1, money 132}
-> customer[144]: {atime 143, dtime 39, btype 0, money 224}
-> customer[147]: {atime 146, dtime 91, btype 1, money 547}
-> customer[150]: {atime 149, dtime 81, btype 0, money 656}
-> customer[153]: {atime 152, dtime 29, btype 0, money 301}
-> customer[156]: {atime 155, dtime 1, btype 1, money 456}
-> customer[160]: {atime 159, dtime 28, btype 0, money 363}
-> customer[163]: {atime 162, dtime 20, btype 1, money 864}
-> customer[166]: {atime 165, dtime 1, btype 0, money 95}
-> customer[169]: {atime 168, dtime 29, btype 1, money 393}
-> customer[172]: {atime 171, dtime 68, btype 0, money 568}
-> customer[175]: {atime 174, dtime 4, btype 1, money 242}
-> customer[179]: {atime 178, dtime 3, btype 0, money 140}
-> customer[183]: {atime 182, dtime 11, btype 0, money 804}
-> customer[186]: {atime 185, dtime 71, btype 0, money 581}
-> customer[187]: {atime 186, dtime 43, btype 1, money 274}
-> customer[190]: {atime 189, dtime 38, btype 0, money 232}
-> customer[193]: {atime 192, dtime 82, btype 1, money 582}
-> customer[195]: {atime 194, dtime 14, btype 1, money 381}
-> customer[199]: {atime 198, dtime 16, btype 1, money 446}
-> customer[202]: {atime 201, dtime 69, btype 1, money 519}
-> customer[205]: {atime 204, dtime 19, btype 0, money 193}
-> customer[208]: {atime 207, dtime 57, btype 1, money 208}
-> customer[211]: {atime 210, dtime 11, btype 0, money 750}
-> customer[214]: {atime 213, dtime 99, btype 0, money 626}
-> customer[217]: {atime 216, dtime 6, btype 0, money 195}
-> customer[220]: {atime 219, dtime 51, btype 0, money 695}
-> customer[223]: {atime 222, dtime 86, btype 1, money 656}
-> customer[226]: {atime 225, dtime 78, btype 1, money 55}
-> customer[229]: {atime 228, dtime 64, btype 1, money 51}
-> customer[232]: {atime 231, dtime 10, btype 1, money 476}
-> customer[235]: {atime 234, dtime 53, btype 1, money 483}
-> customer[238]: {atime 237, dtime 30, btype 0, money 445}
-> customer[241]: {atime 240, dtime 59, btype 0, money 872}
-> customer[245]: {atime 244, dtime 87, btype 0, money 717}
-> customer[248]: {atime 247, dtime 6, btype 0, money 15}
-> customer[250]: {atime 249, dtime 80, btype 1, money 851}
-> customer[252]: {atime 251, dtime 5, btype 1, money 572}
-> customer[255]: {atime 254, dtime 43, btype 1, money 240}
-> customer[258]: {atime 257, dtime 23, btype 0, money 9}
-> customer[261]: {atime 260, dtime 12, btype 0, money 677}
-> customer[264]: {atime 263, dtime 63, btype 1, money 244}
-> customer[267]: {atime 266, dtime 26, btype 0, money 689}
-> customer[270]: {atime 269, dtime 12, btype 0, money 94}
-> customer[273]: {atime 272, dtime 38, btype 0, money 484}
-> customer[277]: {atime 276, dtime 50, btype 0, money 140}
-> customer[280]: {atime 279, dtime 5, btype 0, money 564}
-> customer[283]: {atime 282, dtime 2, btype 0, money 533}
-> customer[286]: {atime 285, dtime 53, btype 1, money 702}
-> customer[289]: {atime 288, dtime 78, btype 0, money 715}
-> customer[292]: {atime 291, dtime 7, btype 0, money 247}
-> customer[295]: {atime 294, dtime 55, btype 1, money 161}
-> customer[298]: {atime 297, dtime 10, btype 1, money 460}
-> customer[301]: {atime 300, dtime 11, btype 0, money 978}
-> customer[304]: {atime 303, dtime 38, btype 1, money 449}
-> customer[307]: {atime 306, dtime 94, btype 0, money 737}
-> customer[311]: {atime 310, dtime 21, btype 1, money 111}
-> customer[314]: {atime 313, dtime 46, btype 1, money 502}
-> customer[317]: {atime 316, dtime 94, btype 0, money 540}
-> customer[318]: {atime 317, dtime 43, btype 1, money 37}
-> customer[321]: {atime 320, dtime 66, btype 0, money 444}
-> customer[324]: {atime 323, dtime 37, btype 1, money 528}
-> customer[328]: {atime 327, dtime 14, btype 1, money 721}
-> customer[331]: {atime 330, dtime 59, btype 0, money 743}
-> customer[334]: {atime 333, dtime 60, btype 0, money 308}
-> customer[337]: {atime 336, dtime 65, btype 0, money 13}
-> customer[340]: {atime 339, dtime 54, btype 0, money 716}
-> customer[343]: {atime 342, dtime 100, btype 0, money 972}
-> customer[346]: {atime 345, dtime 92, btype 0, money 744}
-> customer[349]: {atime 348, dtime 4, btype 1, money 859}
-> customer[352]: {atime 351, dtime 49, btype 0, money 355}
-> customer[355]: {atime 354, dtime 54, btype 1, money 15}
-> customer[358]: {atime 357, dtime 94, btype 1, money 36}
-> customer[362]: {atime 361, dtime 11, btype 1, money 297}
-> customer[365]: {atime 364, dtime 90, btype 0, money 495}
-> customer[368]: {atime 367, dtime 62, btype 0, money 371}
-> customer[372]: {atime 371, dtime 59, btype 1, money 611}
-> customer[375]: {atime 374, dtime 40, btype 1, money 706}
-> customer[378]: {atime 377, dtime 95, btype 0, money 12}
-> customer[381]: {atime 380, dtime 34, btype 1, money 986}
-> customer[384]: {atime 383, dtime 12, btype 1, money 894}
-> customer[387]: {atime 386, dtime 70, btype 1, money 635}
-> customer[390]: {atime 389, dtime 75, btype 0, money 567}
-> customer[394]: {atime 393, dtime 40, btype 0, money 489}
-> customer[397]: {atime 396, dtime 92, btype 1, money 348}
-> customer[400]: {atime 399, dtime 100, btype 1, money 202}
-> customer[403]: {atime 402, dtime 2, btype 1, money 574}
-> customer[404]: {atime 403, dtime 29, btype 0, money 283}
-> customer[407]: {atime 406, dtime 69, btype 1, money 449}
-> customer[410]: {atime 409, dtime 27, btype 1, money 481}
-> customer[411]: {atime 410, dtime 23, btype 1, money 944}
-> customer[412]: {atime 411, dtime 20, btype 1, money 413}
-> customer[413]: {atime 412, dtime 66, btype 0, money 675}
-> customer[418]: {atime 417, dtime 44, btype 0, money 769}
-> customer[421]: {atime 420, dtime 16, btype 0, money 614}
-> customer[424]: {atime 423, dtime 55, btype 1, money 950}
-> customer[427]: {atime 426, dtime 18, btype 1, money 756}
-> customer[430]: {atime 429, dtime 94, btype 0, money 468}
-> customer[433]: {atime 432, dtime 17, btype 0, money 907}
-> customer[436]: {atime 435, dtime 84, btype 0, money 60}
-> customer[439]: {atime 438, dtime 51, btype 1, money 337}
-> customer[442]: {atime 441, dtime 24, btype 1, money 94}
-> customer[446]: {atime 445, dtime 92, btype 0, money 634}
-> customer[449]: {atime 448, dtime 38, btype 1, money 257}
-> customer[456]: {atime 455, dtime 94, btype 0, money 877}
-> customer[459]: {atime 458, dtime 1, btype 1, money 568}
-> customer[462]: {atime 461, dtime 23, btype 1, money 611}
-> customer[465]: {atime 464, dtime 19, btype 0, money 533}
-> customer[468]: {atime 467, dtime 12, btype 0, money 502}
-> customer[471]: {atime 470, dtime 46, btype 1, money 202}
-> customer[474]: {atime 473, dtime 90, btype 0, money 29}
-> customer[478]: {atime 477, dtime 79, btype 1, money 246}
-> customer[481]: {atime 480, dtime 14, btype 1, money 927}
-> customer[484]: {atime 483, dtime 40, btype 1, money 254}
-> customer[487]: {atime 486, dtime 1, btype 1, money 644}
-> customer[490]: {atime 489, dtime 91, btype 0, money 575}
-> customer[493]: {atime 492, dtime 18, btype 1, money 926}
-> customer[498]: {atime 497, dtime 91, btype 1, money 30}
-> customer[501]: {atime 500, dtime 24, btype 0, money 21}
-> customer[503]: {atime 502, dtime 17, btype 0, money 180}
-> customer[505]: {atime 504, dtime 96, btype 0, money 629}
-> customer[508]: {atime 507, dtime 33, btype 0, money 274}
-> customer[511]: {atime 510, dtime 49, btype 0, money 110}
-> customer[514]: {atime 513, dtime 54, btype 1, money 524}
-> customer[517]: {atime 516, dtime 53, btype 1, money 457}
-> customer[520]: {atime 519, dtime 13, btype 1, money 981}
-> customer[523]: {atime 522, dtime 2, btype 0, money 762}
-> customer[526]: {atime 525, dtime 62, btype 0, money 356}
-> customer[529]: {atime 528, dtime 6, btype 0, money 714}
-> customer[532]: {atime 531, dtime 64, btype 1, money 85}
-> customer[535]: {atime 534, dtime 26, btype 1, money 407}
-> customer[536]: {atime 535, dtime 43, btype 1, money 249}
-> customer[537]: {atime 536, dtime 10, btype 1, money 566}
-> customer[538]: {atime 537, dtime 78, btype 1, money 333}
-> customer[541]: {atime 540, dtime 12, btype 0, money 864}
-> customer[544]: {atime 543, dtime 99, btype 0, money 104}
-> customer[547]: {atime 546, dtime 36, btype 1, money 883}
-> customer[550]: {atime 549, dtime 99, btype 0, money 293}
-> customer[553]: {atime 552, dtime 80, btype 1, money 288}
-> customer[556]: {atime 555, dtime 18, btype 1, money 215}
-> customer[559]: {atime 558, dtime 2, btype 0, money 357}
-> customer[562]: {atime 561, dtime 2, btype 0, money 227}
-> customer[565]: {atime 564, dtime 2, btype 1, money 571}
-> customer[568]: {atime 567, dtime 51, btype 0, money 79}
-> customer[572]: {atime 571, dtime 77, btype 1, money 119}
-> customer[575]: {atime 574, dtime 10, btype 1, money 274}
-> customer[581]: {atime 580, dtime 100, btype 0, money 832}
-> customer[584]: {atime 583, dtime 61, btype 0, money 665}
-> customer[587]: {atime 586, dtime 51, btype 0, money 761}
-> customer[590]: {atime 589, dtime 26, btype 0, money 650}
-> customer[593]: {atime 592, dtime 93, btype 1, money 484}
-> customer[596]: {atime 595, dtime 79, btype 1, money 512}
-> customer[599]: {atime 598, dtime 71, btype 0, money 544}
-> customer[602]: {atime 601, dtime 85, btype 1, money 641}
-> customer[605]: {atime 604, dtime 51, btype 0, money 428}
-> customer[608]: {atime 607, dtime 62, btype 1, money 210}
-> customer[611]: {atime 610, dtime 81, btype 0, money 575}
-> customer[614]: {atime 613, dtime 6, btype 1, money 992}
-> customer[617]: {atime 616, dtime 47, btype 0, money 696}
-> customer[620]: {atime 619, dtime 13, btype 1, money 431}
-> customer[624]: {atime 623, dtime 19, btype 0, money 798}
-> customer[625]: {atime 624, dtime 20, btype 1, money 594}
-> customer[628]: {atime 627, dtime 4, btype 1, money 606}
-> customer[631]: {atime 630, dtime 99, btype 0, money 958}
-> customer[634]: {atime 633, dtime 16, btype 1, money 197}
-> customer[637]: {atime 636, dtime 25, btype 0, money 884}
-> customer[640]: {atime 639, dtime 89, btype 1, money 780}
-> customer[643]: {atime 642, dtime 20, btype 1, money 362}
-> customer[646]: {atime 645, dtime 11, btype 0, money 491}
-> customer[649]: {atime 648, dtime 73, btype 1, money 281}
-> customer[652]: {atime 651, dtime 38, btype 1, money 453}
-> customer[655]: {atime 654, dtime 74, btype 0, money 85}
-> customer[658]: {atime 657, dtime 88, btype 0, money 864}
-> customer[661]: {atime 660, dtime 91, btype 0, money 455}
-> customer[664]: {atime 663, dtime 29, btype 0, money 183}
-> customer[667]: {atime 666, dtime 23, btype 1, money 229}
-> customer[669]: {atime 668, dtime 29, btype 1, money 845}
-> customer[672]: {atime 671, dtime 73, btype 1, money 519}
-> customer[677]: {atime 676, dtime 44, btype 1, money 850}
-> customer[680]: {atime 679, dtime 46, btype 1, money 583}
-> customer[683]: {atime 682, dtime 87, btype 1, money 717}
-> customer[687]: {atime 686, dtime 91, btype 1, money 959}
-> customer[690]: {atime 689, dtime 76, btype 1, money 699}
-> customer[693]: {atime 692, dtime 27, btype 1, money 499}
-> customer[696]: {atime 695, dtime 73, btype 1, money 777}
-> customer[699]: {atime 698, dtime 15, btype 0, money 860}
-> customer[702]: {atime 701, dtime 22, btype 0, money 132}
-> customer[705]: {atime 704, dtime 18, btype 0, money 580}
-> customer[709]: {atime 708, dtime 35, btype 0, money 690}
-> customer[712]: {atime 711, dtime 48, btype 1, money 85}
-> customer[715]: {atime 714, dtime 42, btype 0, money 857}
-> customer[718]: {atime 717, dtime 1, btype 1, money 425}
-> customer[721]: {atime 720, dtime 83, btype 0, money 404}
-> customer[724]: {atime 723, dtime 90, btype 0, money 745}
-> customer[727]: {atime 726, dtime 77, btype 0, money 766}
-> customer[730]: {atime 729, dtime 7, btype 1, money 118}
-> customer[733]: {atime 732, dtime 44, btype 0, money 593}
-> customer[736]: {atime 735, dtime 64, btype 1, money 513}
-> customer[739]: {atime 738, dtime 54, btype 0, money 370}
-> customer[742]: {atime 741, dtime 72, btype 1, money 770}
-> customer[745]: {atime 744, dtime 4, btype 0, money 818}
-> customer[748]: {atime 747, dtime 30, btype 1, money 52}
-> customer[751]: {atime 750, dtime 19, btype 1, money 245}
-> customer[756]: {atime 755, dtime 11, btype 0, money 996}
-> customer[759]: {atime 758, dtime 85, btype 1, money 40}
-> customer[761]: {atime 760, dtime 58, btype 0, money 29}
-> customer[763]: {atime 762, dtime 60, btype 1, money 429}
-> customer[766]: {atime 765, dtime 81, btype 0, money 444}
-> customer[769]: {atime 768, dtime 92, btype 1, money 600}
-> customer[772]: {atime 771, dtime 22, btype 0, money 349}
-> customer[775]: {atime 774, dtime 19, btype 1, money 562}
-> customer[778]: {atime 777, dtime 94, btype 1, money 177}
-> customer[781]: {atime 780, dtime 6, btype 0, money 372}
-> customer[784]: {atime 783, dtime 81, btype 0, money 98}
-> customer[787]: {atime 786, dtime 55, btype 0, money 627}
-> customer[790]: {atime 789, dtime 50, btype 0, money 632}
-> customer[793]: {atime 792, dtime 32, btype 1, money 23}
-> customer[796]: {atime 795, dtime 36, btype 0, money 174}
-> customer[799]: {atime 798, dtime 92, btype 0, money 782}
-> customer[802]: {atime 801, dtime 15, btype 1, money 314}
-> customer[805]: {atime 804, dtime 59, btype 0, money 400}
-> customer[809]: {atime 808, dtime 86, btype 1, money 493}
-> customer[812]: {atime 811, dtime 77, btype 1, money 880}
-> customer[815]: {atime 814, dtime 87, btype 1, money 8}
-> customer[818]: {atime 817, dtime 5, btype 1, money 602}
-> customer[821]: {atime 820, dtime 67, btype 0, money 171}
-> customer[824]: {atime 823, dtime 54, btype 1, money 395}
-> customer[827]: {atime 826, dtime 12, btype 1, money 683}
-> customer[830]: {atime 829, dtime 3, btype 1, money 801}
-> customer[833]: {atime 832, dtime 58, btype 1, money 321}
-> customer[836]: {atime 835, dtime 12, btype 0, money 23}
-> customer[839]: {atime 838, dtime 19, btype 0, money 282}
-> customer[842]: {atime 841, dtime 100, btype 1, money 236}
-> customer[845]: {atime 844, dtime 36, btype 0, money 552}
-> customer[846]: {atime 845, dtime 16, btype 0, money 704}
-> customer[850]: {atime 849, dtime 66, btype 1, money 867}
-> customer[853]: {atime 852, dtime 12, btype 0, money 571}
-> customer[856]: {atime 855, dtime 51, btype 1, money 258}
-> customer[859]: {atime 858, dtime 45, btype 0, money 71}
-> customer[862]: {atime 861, dtime 98, btype 0, money 561}
-> customer[865]: {atime 864, dtime 10, btype 0, money 795}
-> customer[869]: {atime 868, dtime 92, btype 0, money 697}
-> customer[872]: {atime 871, dtime 43, btype 1, money 77}
-> customer[875]: {atime 874, dtime 60, btype 0, money 58}
-> customer[878]: {atime 877, dtime 25, btype 1, money 604}
-> customer[881]: {atime 880, dtime 44, btype 0, money 553}
-> customer[884]: {atime 883, dtime 86, btype 0, money 570}
-> customer[887]: {atime 886, dtime 43, btype 1, money 426}
-> customer[890]: {atime 889, dtime 85, btype 0, money 766}
-> customer[893]: {atime 892, dtime 44, btype 0, money 182}
-> customer[896]: {atime 895, dtime 22, btype 0, money 235}
-> customer[899]: {atime 898, dtime 7, btype 1, money 209}
-> customer[902]: {atime 901, dtime 15, btype 0, money 703}
-> customer[905]: {atime 904, dtime 11, btype 1, money 877}
-> customer[908]: {atime 907, dtime 65, btype 0, money 430}
-> customer[909]: {atime 908, dtime 66, btype 0, money 463}
